,Semáforo Riesgo,Score Final,País,PEG Ratio,P/E Ratio,P/B Ratio,ROE,ROIC,FCF Yield,Debt/Equity,EV/EBITDA,Dividend Yield,Beta,Contexto,Tipo,Cobertura,Advertencia,Ticker,Error,Fuente,Mínimo,Máximo,Actual,% Subida a Máx
4,VERDE,⭐ (1/5 - Débil),,,,,,,,,,,,,Acción,0/6,"⚠️ Solo precio disponible, sin métricas fundamentales",METR,No se encontró información en ninguna fuente,,,,,
5,ROJO,⭐ (1/5 - Débil),,,,,,,,,,,,,Acción,0/6,"⚠️ Solo precio disponible, sin métricas fundamentales",TGNO4,No se encontró información en ninguna fuente,,,,,
17,ROJO,⭐ (1/5 - Débil),Uruguay,1.46,63.44101,26.204775,0.49106997,0.07664,1.19,155.016,37.04,,1.613,"Mercadolibre, Inc. opera plataformas de comercio en línea en Brasil, México, Argentina e internacionalmente. La compañía opera Mercado Libre Marketplace, una plataforma de comercio en línea a la que se puede acceder a través de la aplicación móvil o el sitio web; y Mercado Pago, una plataforma de solución de tecnología financiera, que ofrece un conjunto integral de servicios de tecnología financiera a los usuarios y otros usuarios de su plataforma de comercio electrónico. También proporciona Mercado Fondo que permite a los usuarios invertir fondos depositados en sus cuentas de Mercado Pago; Mercado Credito, que otorga préstamos y obtiene mejores alternativas de financiación; y Mercado Mercado Envios que facilita el envío de bienes de la compañía y los vendedores a los compradores. Además, la compañía proporciona Mercado Libre Classifieds, donde los usuarios pueden enumerar vehículos, propiedades y servicios; Mercado ADS, una plataforma publicitaria, que permite a los minoristas y marcas promocionar sus productos y servicios en la plataforma; y Mercado Shops que permite a los usuarios configurar, administrar y promover sus propias tiendas web en línea bajo un modelo de negocio basado en suscripción. Mercadolibre, Inc. se incorporó en 1999 y tiene su sede en Montevideo, Uruguay.",Acción,6/6,,MELI,,Yahoo Finance,35.24,2564,2564,0
16,ROJO,⭐ (1/5 - Débil),,,,,,,,,,,,,Acción,0/6,"⚠️ Solo precio disponible, sin métricas fundamentales",S15G5,No se encontró información en ninguna fuente,,,,,
18,ROJO,⭐ (1/5 - Débil),United States,-2.79,197.023,14.786922,0.087740004,0.03724,0.3,17.407,87.391,,2.434,"Tesla, Inc. diseña, desarrolla, fabrica, arranca y vende vehículos eléctricos, y sistemas de generación y almacenamiento de energía en los Estados Unidos, China e internacionalmente. La compañía opera en dos segmentos, automotriz; y generación y almacenamiento de energía. El segmento automotriz ofrece vehículos eléctricos, así como vende créditos regulatorios automotrices; y vehículo posterior a la venta de no preferencias, vehículos usados, taller y piezas de carrocería, sobrealimentación, mercancía minorista y servicios de seguro de vehículos. Este segmento también proporciona sedanes y vehículos utilitarios deportivos a través de ventas directas y usadas de vehículos, una red de sobrealimentadores Tesla y actualizaciones en la aplicación; Servicios de financiamiento y arrendamiento de compras; servicios para vehículos eléctricos a través de sus ubicaciones de servicio propiedad de la empresa y técnicos de servicio móvil Tesla; y garantías limitadas de vehículos y planes de servicio extendidos. El segmento de generación y almacenamiento de energía se involucra en el diseño, fabricación, instalación, venta y arrendamiento de productos de generación de energía solar y almacenamiento de energía, y servicios relacionados con clientes y servicios públicos residenciales, comerciales e industriales a través de su sitio web, tiendas y galerías, así como a través de una red de socios de canal. Este segmento también brinda servicios y reparaciones a sus clientes de productos energéticos, incluso bajo garantía; y varias opciones de financiamiento a sus clientes residenciales. La compañía fue conocida anteriormente como Tesla Motors, Inc. y cambió su nombre a Tesla, Inc. en febrero de 2017. Tesla, Inc. se incorporó en 2003 y tiene su sede en Austin, Texas.",Acción,6/6,,TSLA,,Yahoo Finance,1.05,479.86,347.68,38.02
12,ROJO,⭐ (1/5 - Débil),United States,5.42,557.04346,55.728577,0.12357,0.043920003,0.31,4.432,693.99,,2.684,"Palantir Technologies Inc. construye y implementa plataformas de software para la comunidad de inteligencia para ayudar en investigaciones y operaciones antiterroristas en los Estados Unidos, el Reino Unido e internacionalmente. Proporciona Palantir Gotham, una plataforma de software, que permite a los usuarios identificar patrones ocultos en lo profundo de los conjuntos de datos, desde señales fuentes de inteligencia hasta informes de informantes confidenciales, así como facilita la transmisión entre analistas y usuarios operativos, ayudando a los operadores a planificar y ejecutar respuestas del mundo real a amenazas que se han identificado dentro de la plataforma. La compañía también ofrece Palantir Foundry, una plataforma que transforma las formas en que las organizaciones operan mediante la creación de un sistema operativo central para sus datos; y permite a los usuarios individuales integrar y analizar los datos que necesitan en un solo lugar. Además, proporciona Palantir Apollo, un software que ofrece software y actualizaciones en todo el negocio, así como permite a los clientes implementar su software virtualmente en cualquier entorno; y plataforma de inteligencia artificial Palantir que proporciona acceso unificado a modelos de idiomas grandes (LLM) comerciales de código abierto, autohospedados y comerciales que pueden transformar datos estructurados y no estructurados en objetos y procesos de organizaciones de LLM y pueden convertir las acciones y procesos de las organizaciones en herramientas para humanos y agentes basados ​​en LLM. La compañía se incorporó en 2003 y tiene su sede en Denver, Colorado.",Acción,6/6,,PLTR,,Yahoo Finance,6,130.18,130.18,0
2,ROJO,N/A,,,,,,,,,,,,,Bono,0/3,"⚠️ Solo precio disponible, sin métricas fundamentales",TX26,No se encontró información en ninguna fuente,,,,,
1,ROJO,N/A,,,,,,,,,,,,,Bono,0/3,"⚠️ Solo precio disponible, sin métricas fundamentales",GD41D,No se encontró información en ninguna fuente,,,,,
0,ROJO,N/A,,,,,,,,,,,,,Bono,0/3,"⚠️ Solo precio disponible, sin métricas fundamentales",GD38D,No se encontró información en ninguna fuente,,,,,
11,ROJO,N/A,,,,,,,,,,,,,Bono,0/3,"⚠️ Solo precio disponible, sin métricas fundamentales",AE38,No se encontró información en ninguna fuente,,,,,
