,Ticker,Fuente,Mínimo,Máximo,Actual,% Subida a Máx,País,PEG Ratio,P/E Ratio,P/B Ratio,ROE,ROIC,FCF Yield,Debt/Equity,EV/EBITDA,Dividend Yield,Beta,Contexto,Semáforo Riesgo
125,ITC.NS,Yahoo Finance,51.97,514.63,427.9,20.27,India,,26.66874,7.1340694,,,,0.402,19.493,3.27,0.05,"ITC Limited engages in the fast-moving consumer goods, hotels, paperboards and paper and packaging, agri, and information technology businesses in India and internationally. It primarily offers cigarettes and cigars; staples, spices, biscuits, confectionery and gums, snacks, noodles and pasta, beverages, dairy, ready to eat meals, chocolate, coffee, and frozen foods; personal care products; notebooks, pens and pencils, geometry boxes, erasers, sharpeners, rulers, wax and plastic crayons, sketch pens, and oil pastels; safety matches; and incense sticks under various brands. The company also operates hotels under the ITC Hotel, Mementos, Welcomhotel, Storii, Fortune, and WelcomHeritage brands; and Kaya Kalp spas. In addition, it offers virgin, recycled, coated barrier, cupstock base, liner, liquid packaging, anti-fungal, solid, and graphic boards, as well as specialty papers; overlay, surfacing/print base, barrier, and liner papers; plastic substitution products; and packaging products, such as carton board, flexible, tobacco, and green packaging products. Further, the company exports feed ingredients, food grains, marine products, processed fruits, coffee products, leaf tobacco products, and spices; and offers information technology services for the banking, financial services, consumer goods, manufacturing, travel, hospitality, and healthcare industries. Additionally, it provides property infrastructure and estate maintenance; engineering, procurement, and construction management; project management consultancy; cartooning and wrapping; conveyor; and business consulting, real estate development, and agro-forestry and other related services. The company also manages and operates golf courses; fabricates and assembles machinery for tube filling; and produces and commercializes seed potato technology products. ITC Limited was incorporated in 1910 and is headquartered in Kolkata, India.",VERDE
128,SUNPHARMA.NS,Yahoo Finance,127.83,1937.03,1700,13.94,India,,35.758842,5.916438,,,,3.707,26.674,0.91,0.387,"Sun Pharmaceutical Industries Limited, a generic pharmaceutical company, develops, manufactures, and markets branded and generic formulations and active pharmaceutical ingredients (APIs) in India and internationally. The company offers formulations in various therapeutic areas, including central nervous system, dermatology, cardiology, oncology, neuropsychiatry, gastroenterology, anti-infectives, diabetology, pain/analgesics, vitamins/minerals/nutrients, respiratory, gynaecology, urology, ophthalmology, orthopaedic, nephrology, dental, and other areas. It provides APIs for anti-cancers, peptides, steroids, hormones, and immunosuppressant drugs. In addition, the company offers generic medications, such as tablets, capsules, injectables, inhalers, ointments, creams, and liquids; speciality medications, and antiretrovirals medications, as well as over-the-counter products. The company was founded in 1983 and is headquartered in Mumbai, India.",VERDE
10,TXAR.BA,Yahoo Finance,0.11,1144.5,615,86.1,Argentina,,,0.52875865,-0.01548,0.00185,,5.028,17.414,,-0.246,"Ternium Argentina S.A. manufactures, produces, and processes various steel products in Argentina. The company offers hot and cold rolled coils, straps, and sheets; galvanized, prepainted, and cincalum coated steel; electrogalvanized plated steel; mechanical and structural use, and general-purpose tubes; U and C steel profile; tin products; and steel aggregate, blast furnace slag, and ferric oxide. It serves the construction, automotive, white line, agroindustry, packaging, transport, and energy industries. The company was formerly known as Siderar S.A.I.C. The company was incorporated in 1962 and is headquartered in Buenos Aires, Argentina. Ternium Argentina S.A. operates as a subsidiary of Ternium Internacional España S.L.U.",VERDE
14,MOLA.BA,Yahoo Finance,85.97,34255.37,22400,52.93,Argentina,,23.504362,6.409039,0.33699,0.0027200002,,153.99,133.985,8.66,-0.532,"Molinos Agro S.A. produces and sells grain, soybean, and cereal products. The company also provides animal feeds, including pet, poultry, pork, and dairy food products; and constructs and operates a biodiesel plant. In addition, it exports soy meal, soy hull pellets, crude soy oil, soy lecithin, biodiesel, refined glycerin, corn, crude sunflower oil, and wheat. The company was incorporated in 2016 and is based in Victoria, Argentina.",VERDE
90,BNP.PA,Yahoo Finance,11.26,81.58,79.08,3.16,France,,8.365263,0.6895564,0.09052,0.00439,,,,6.06,1.409,"BNP Paribas SA provides various banking and financial products and services in Europe, the Middle East, Africa, the Americas, and the Asia Pacific. It operates through three divisions: Corporate & Institutional Banking; Commercial, Personal Banking & Services; and Investment & Protection Services. The Corporate & Institutional Banking division offers capital market, securities, investment banking, financing, risk management, cash management, and financial advisory services for corporate clients and institutional investors. Its Commercial, Personal Banking & Services division provides financing and equipment leasing services, mobility, and digital banking services, as well as current accounts, savings products, bancassurance, insurance products and services, and consumer loans. The Investment & Protection Services division provides protection, savings, investment, and real estate services to support individuals, professionals, corporate clients, and institutions. The company was formerly known as Banque Nationale de Paris and changed its name to BNP Paribas SA in May 2000. BNP Paribas SA was founded in 1822 and is headquartered in Paris, France.",AMARILLO
17,RMBI,Yahoo Finance,7.48,15.85,14.25,11.26,United States,,15.848314,1.0360657,0.068179995,0.00596,,,,4.21,0.415,"Richmond Mutual Bancorporation, Inc. operates as the bank holding company for First Bank Richmond that provides various banking services in Cambridge City. It accepts various deposits, including savings deposit accounts, money market accounts, NOW and demand accounts, and certificates of deposit. The company also offers a range of lending products, such as multi-family and commercial real estate loans, commercial and industrial loans, construction and development loans, residential real estate loans, and consumer loans. In addition, it engages in the lease financing business; and provision of fee-based financial services comprising trust and estate administration, investment management, retirement plan administration, and private banking services. The company was founded in 1887 and is headquartered in Richmond, Indiana.",VERDE
36,HAPV3.SA,Yahoo Finance,1.94,18.15,2.66,582.38,Brazil,,,0.41615856,-0.0133299995,0.00636,,34.351,13.446,,0.466,"Hapvida Participações e Investimentos S.A., together with its subsidiaries, operates in the health sector in Brazil. The company offers health insurance plans through its clinical, outpatient, and hospital networks; and dental plans though a credentialed network. It also provides medical and paramedical, laboratory, diagnostic, imaging, and ultrasound services; health management services; and medical and hospital care services. In addition, the company organizes courses, lectures, seminars, and other events; implements health management tools; and operates hospitals, outpatient units, a children's clinic, clinical and diagnostic centers, preventive and occupational medicine spaces, and an oncology center. Further, it engages in the administration, consultancy, implementation, and commercialization of individual, family, and collective health care systems and plans; and reimbursement of medical, dental, hospital, and healthcare expenses to its beneficiaries. Hapvida Participações e Investimentos S.A. was founded in 1979 and is headquartered in Fortaleza, Brazil.",VERDE
8,EDN,Yahoo Finance,1.71,62.55,35.81,74.67,Argentina,,9.036801,0.020688336,0.19865999,0.00778,,31.609,0.507,,0.57,"Empresa Distribuidora y Comercializadora Norte Sociedad Anónima engages in the distribution and sale of electricity in Argentina. Empresa Distribuidora y Comercializadora Norte Sociedad Anónima was formerly known as Empresa Distribuidora Norte Sociedad Anónima and changed its name to Empresa Distribuidora y Comercializadora Norte Sociedad Anónima in January 1997. The company was founded in 1992 and is based in Buenos Aires, Argentina. Empresa Distribuidora y Comercializadora Norte Sociedad Anónima operates as a subsidiary of Empresa de Energía del Cono Sur S.A.",VERDE
23,BBDC4.SA,Yahoo Finance,4.75,21.2,15.22,39.3,Brazil,,9.125,0.9509925,0.112670004,0.0094800005,,,,1.5,0.388,"Banco Bradesco S.A., together with its subsidiaries, provides various banking products and services to individuals, corporates, and businesses in Brazil and internationally. The company operates through two segments, Banking and Insurance. It provides current, savings, click, and salary accounts; real estate credit, vehicle financing, payroll loans, mortgage loans, microcredit, leasing, and personal and installment credit; overdraft and agribusiness loans; debit and business cards; financial and security services; consortium products; car, personal accident, dental, travel, and life insurance; investment products; pension products; foreign currency exchange services; capitalization bonds; and internet banking services. The company was founded in 1943 and is headquartered in Osasco, Brazil.",VERDE
97,CS.PA,Yahoo Finance,3.86,41.67,40.48,2.94,France,,12.4800005,1.7667044,0.124680005,0.01006,,102.502,7.988,5.31,1.113,"AXA SA, through its subsidiaries, insurance, asset management, and banking services worldwide. The company operates through six segments: France, Europe, AXA XL, Asia, Africa & EME-LATAM, AXA Investment Managers, and Transversal & Other segments. It offers life and savings insurance and property and casualty insurance products. The company also provides protection and retirement products for individual and professional customers; reinsurance coverages; property, primary and excess casualty, excess and surplus lines, environmental liability, professional liability, construction, marine, energy, aviation and satellite, fine art and specie, livestock and aquaculture, accident and health, and crisis management. In addition, it offers reinsurance solutions with casualty, property risk, property catastrophe, specialty, and other reinsurance; proportional and non-proportional, and facultative reinsurance; risk management solutions and consulting services; integrated ecosystem combining medical assets with insurance services, which includes onsite services in clinics, remote teleconsultation and digital services, and home services; travel insurance and assistance services, as well as AXA Multilink platform; mobility virtual payment card; parametric insurance; and parametric flight delay product and an eSim card. Further, the company provides asset management services in the various asset classes and multi manager solutions. Additionally, it offers motor, household, property and general liability, health, term life, whole life, universal life, endowment, deferred and immediate annuities, and other investment-based products for retail/individual and commercial/group customers. AXA SA was founded in 1852 and is headquartered in Paris, France.",AMARILLO
55,SECURITY.SN,Yahoo Finance,61.46,273.99,273.64,0.13,Chile,,6.9722652,0.99470955,0.14498,0.010140001,,,,8.22,0.425,"Grupo Security S.A., a diversified financial holding company, provides commercial and retail banking, insurance, factoring, asset management, and other products and services to large and medium-sized companies, and high-income individuals in Chile. The company offers financing services to companies and individuals; and factoring and stock brokerage services. It also provides investment, asset and wealth management, and general funds administration services; brokerage and intermediation services; securitization services; life insurance and annuities; insurance brokerage services; travel and tourism agency services; and business support services. In addition, the company engages in real estate and mortgages, international security, and trips. Grupo Security S.A. was formerly known as Security Holdings S.A. and changed its name to Grupo Security S.A. in October 1997. The company was incorporated in 1991 and is headquartered in Santiago, Chile. Grupo Security S.A. operates as a subsidiary of Bicecorp S.A.",VERDE
18,VALO.BA,Yahoo Finance,0.47,459.5,311,47.75,Argentina,,12.460443,1.9354364,0.15321,0.01158,,,,7.49,0.297,"Banco de Valores S.A. provides various financial products and services in Argentina. The company offers financial and non-financial trusts; shares and debt issuance; mutual funds; and rating services. Banco de Valores S.A. was incorporated in 1977 and is based in Buenos Aires, Argentina.",VERDE
115,VNET,Yahoo Finance,1.42,42.6,6.39,566.67,China,,311.5,0.26319125,0.03698,0.01334,,266.581,12.247,,0.138,"VNET Group, Inc., an investment holding company, provides hosting and related services in China. The company offers managed hosting services consisting of managed retail services, such as colocation services that dedicate data center space to house customers' servers and networking equipment, as well as allow customers to lease partial or entire cabinets for their servers; interconnectivity services that allow customers to connect their servers; and value-added services, including hybrid IT, bare metal, firewall, server load balancing, data backup and recovery, data center management, server management, and standby server services. It also provides cloud services that allow customers to run applications over the internet using IT infrastructure; and VPN services that extend customers' private networks by setting up connections through the public internet. In addition, the company offers server administration services, such as operating system support and assistance with updates, server monitoring, server backup and restoration, server security evaluation, firewall services, and disaster recovery services. It serves information technology and cloud services, communications and social networking, gaming and entertainment, e-commerce, automobile, financial services, and blue-chip and small-to-mid-sized enterprises; government agencies; individuals; and telecommunication carriers. The company was formerly known as 21Vianet Group, Inc. and changed its name to VNET Group, Inc. in October 2021. VNET Group, Inc. was founded in 1996 and is headquartered in Beijing, China.",VERDE
45,CMPC.SN,Yahoo Finance,1026.51,2602.28,1477.2,76.16,Chile,,12.028453,475.21313,0.041539997,0.013359999,,73.59,2903.834,4.79,0.491,"Empresas CMPC S.A. engages in the production and sale of pulp and wood products in Chile and internationally. It operates through Pulp, Biopackaging, and Softys segments. The Pulp segment produces and markets pulp, forestry, and lumber products. This segment also offers sawn lumber, remanufactured products, and plywood sheets, as well as owns forest plantations, primarily pine and eucalyptus. The Biopackaging segment provides elaborated paper products, such as bags or industrial sacks, as well as molded pulp trays, and corrugation and corrugated cardboard boxes; manufactures and retails bags; and distributes papers. The Softys segment offers tissue products, such as toilet papers, paper towels, paper napkins, and facial tissues; sanitary products comprising baby diapers, wipes, adult diapers, and sanitary napkins; and specialized hygiene products for consumption in institutions and public places. This segment sells its products through supermarkets, pharmacies, and distributors under the Elite, Confort, Nova, Higienol, Sussex, Babysec, Cotidian, Ladysoft, Duetto, Cotton, Deluxe, Chicolastic, BBTips, Kiddies, BioBaby, and other brand names. The company was incorporated in 1920 and is headquartered in Santiago, Chile.",VERDE
49,CAP.SN,Yahoo Finance,859.31,13029.99,4944.9,163.5,Chile,,,409.37115,0.00737,0.01396,,55.99,1402.026,,1.494,"CAP S.A. engages in iron ore mining, steel production, steel processing, and infrastructure businesses in Chile and internationally. The company explores, evaluates, and develops mineral ores; and produces iron ore and pellets in the Pacific coast. It also produces and sells corrosion-resistant rebars, grinding rods, concrete bars, helical bars, CAP-SOL bars, wire rods, limestone, and quicklime. In addition, the company offers pipes and conduit; corrugated steel products; instapanel covers and coating for warehouses, and industrial and commercial warehouses; metalcon covers and coating; road defenses; photovoltaic structures; insulated panels, open profiles, laminated profiles, metalcon construction systems, collaborative plates, steel sheets, tubest, and tubular profiles. Further, it engages in desalinated water production business; electric transmission; and ports for ships. The company was formerly known as Compañía de Acero del Pacífico S.A. de Inversiones and changed its name to CAP S.A. in May 1991. CAP S.A. was incorporated in 1946 and is based in Las Condes, Chile.",AMARILLO
69,JPM,Yahoo Finance,19.58,278.24,263.01,5.79,United States,,12.985281,2.2194269,0.17352,0.01413,,,,2.13,1.068,"JPMorgan Chase & Co. operates as a financial services company worldwide. It operates through three segments: Consumer & Community Banking, Commercial & Investment Bank, and Asset & Wealth Management. The company offers deposit, investment and lending products, cash management, and payments and services; mortgage origination and servicing activities; residential mortgages and home equity loans; and credit cards, auto loans, leases, and travel services to consumers and small businesses through bank branches, ATMs, and digital and telephone banking. It also provides investment banking products and services, including corporate strategy and structure advisory, and equity and debt market capital-raising services, as well as loan origination and syndication; payments; and cash and derivative instruments, risk management solutions, prime brokerage, and research, as well as offers securities services, including custody, fund services, liquidity, and trading services, and data solutions products. In addition, the company provides financial solutions, including lending, payments, investment banking, and asset management to small and midsized companies, local governments, nonprofit clients, and municipalities, as well as commercial real estate clients. Further, it offers multi-asset investment management solutions in equities, fixed income, alternatives, and money market funds to institutional clients and retail investors; and retirement products and services, brokerage, custody, estate planning, lending, deposits, and investment management products to high net worth clients. The company was founded in 1799 and is headquartered in New York, New York.",AMARILLO
43,BSANTANDER.SN,Yahoo Finance,14.82,58,58,0,Chile,,10.957009,2.5104923,0.2326,0.0144299995,,,,5.49,0.494,"Banco Santander-Chile, together with its subsidiaries, provides commercial and retail banking products and services in Chile. It operates through Retail, Wealth Management & Insurance, Middle-Market, Corporate and Investment Banking, and Corporate Activities and Other segments. The company offers checking accounts and savings products; debit and credit cards; consumer, auto, commercial, mortgage, and government-guaranteed loans; and Chilean peso and foreign currency denominated loans to finance various commercial transactions, trade, foreign currency forward contracts, and credit lines, as well as mortgage financing services. It also provides mutual fund management, insurance and securities brokerage, foreign exchange services, financial leasing, financial consulting and advisory, investment management, foreign trade, leasing, factoring, treasury, and transactional services, as well as specialized services to finance residential projects. In addition, the company offers short-term financing and funding, and brokerage services, as well as derivatives, securitization, and other products; and manages capital allocations. Further, it provides health, life, travel, automobile, and unemployment insurance products; personal and corporate protection products; guarantees; international investment accounts, structured funds, and alternative investment funds; and wealth management and open architecture, asset management, and private banking services. It serves individuals, small to middle-sized companies, and other companies, as well as universities, government agencies, municipalities, regional governments, and construction and real estate companies. The company was incorporated in 1977 and is headquartered in Santiago, Chile. Banco Santander-Chile is a subsidiary of Banco Santander, S.A.",VERDE
51,RIPLEY.SN,Yahoo Finance,96.71,513.11,472.5,8.6,Chile,,17.28838,0.8858259,0.05389,0.0152900005,,206.459,25.1,1.32,0.649,"Ripley Corp S.A. engages in the retail sale of apparel, accessories, and home products through department stores and e-commerce in Chile and Peru. The company product categories include beauty products, techno products, shoes and slippers, accessories and complements, automotive and decor products, sport and adventure products, bedroom and electro products, hardware and pet products, toy and children products, health and wellness products, men's fashion, women's fashion, children's fashion, furniture, and other products, as well as automotive spare parts. It is also involved in banking business through the management of Ripley Bank that primarily focuses on the consumer sector; and the real estate business, including the ownership of shopping malls. The company was founded in 1956 and is based in Santiago, Chile.",VERDE
