,Semáforo Riesgo,Ticker,Fuente,Mínimo,Máximo,Actual,% Subida a Máx,País,PEG Ratio,P/E Ratio,P/B Ratio,ROE,ROIC,FCF Yield,Debt/Equity,EV/EBITDA,Dividend Yield,Beta,Contexto
29,VERDE,JBSS3.SA,Yahoo Finance,2.19,45.78,40.85,12.08,Brazil,0.11,8.605727,1.9983631,0.25444,0.07681,19.42,274.85,5.272,7.34,,"JBS S.A., junto con sus subsidiarias, se involucra en el procesamiento de la proteína animal en todo el mundo. La compañía comercia con productos de carne, cerdo, pollo, aves de corral, pescado y cordero; carne congelada cocida; productos a base de plantas; y otros productos alimenticios. También vende productos de cuero, cuero, higiene y limpieza, colágeno, envasado de metal, biodiesel y otros, así como cuero azul húmedo, productos de cuero semi-acabados y terminados. Además, la compañía está involucrada en el procesamiento de carne de res, como matanza, refrigeración, industrialización y producción de subproductos de carne enlatados, así como procesamiento de pescado; producción, procesamiento y comercialización de cuero; Producción y comercialización de latas de acero, resina de plástico, base de jabón para la producción, barra de jabón, biodiesel, glicerina, oleína, ácido aceitoso, colágeno y envoltura derivada de la tripa de ganado; gestión de residuos industriales; almacenamiento en frío; y compra y venta de soja, sebo, aceite de palma, refresco cáustico y estearin. Además, se involucra en el procesamiento de pollo y carne de cerdo, como cría, matanza y procesamiento de pollos y cerdos de engorde; producción y comercialización de carne de res y productos alimenticios; producción de alimentos para mascotas y concentrados; producción de energía eléctrica, cogeneración y comercialización; opera centros de distribución y puertos; y proporciona servicios de transporte y galletas para perros. Además, produce cecina de carne; ofrece servicios de engorde y almacenamiento de ganado; opera logística; y cotizan por productos por procesamiento. La compañía fue conocida anteriormente como Friboi Ltda. JBS S.A. fue fundada en 1953 y tiene su sede en São Paulo, Brasil."
38,VERDE,VIVT3.SA,Yahoo Finance,3.19,28.39,28.35,0.14,Brazil,0.9,16.274286,0.6802818,0.083529994,0.045289997,,30.171,3.325,3.7,,"Telefônica Brasil S.A., junto con sus subsidiarias, opera como una compañía de telecomunicaciones móviles en Brasil. Su cartera de servicios de línea fija incluye llamadas locales, nacionales de larga distancia y de larga distancia a larga distancia; y la cartera móvil comprende acceso a Internet de voz y banda ancha a través de 3G, 4G, 4.5G y 5G, así como servicios de roaming de valor agregado e inalámbrico. La compañía también ofrece servicios de datos, incluidos servicios de datos de banda ancha y móviles. Además, proporciona servicios de TV de pago a través de tecnologías IPTV; servicios de red, como alquiler de instalaciones; otros servicios; servicios al por mayor, incluidos servicios de interconexión para usuarios de otros proveedores de redes; y servicios digitales, como el entretenimiento, la nube y la seguridad y los servicios financieros. Además, la compañía ofrece servicios de comunicación multimedia, que incluyen audio, datos, voz y otros sonidos, imágenes, textos y otra información, así como vende dispositivos, como teléfonos inteligentes, módems USB de banda ancha y otros dispositivos. Además, proporciona soluciones de telecomunicaciones y soporte de TI a diversas industrias, como el comercio minorista, la fabricación, los servicios, las instituciones financieras, el gobierno, etc. comercializa y vende sus soluciones a través de tiendas propias, concesionarios, canales minoristas y de distribución, ventas puerta a puerta y ventas de tele salientes. La compañía fue conocida anteriormente como Telecomunicações de São Paulo S.A. - Telesp y cambió su nombre a Telefônica Brasil S.A. en octubre de 2011. La compañía fue incorporada en 1998 y tiene su sede en São Paulo, Brasil."
53,VERDE,PAM,Yahoo Finance,2.85,94.88,83.73,13.32,Argentina,-0.28,7.331304,37.157337,0.17531,0.030269999,3.25,48.564,211.014,,,"Pampa Energía S.A. opera como una compañía eléctrica integrada en Argentina. La compañía opera a través de petróleo y gas; Generación; Petroquímicos; y Holding, Transporte y otros segmentos. Genera electricidad a través de plantas térmicas, plantas hidroeléctricas y parques eólicos con una capacidad instalada de 5.472 megavatios (MW). La compañía también explora y produce petróleo y gas en las provincias de Neuquén y Río Negro. Además, produce petroquímicos, como el estireno, el caucho sintético y el poliestireno. Además, la compañía opera y mantiene una red de transmisión de electricidad de alto voltaje de 22,396 km en Argentina. Además, tiene una concesión para el transporte de gas natural con 9,248 km de tuberías de gas en el centro, oeste y al sur de Argentina; y procesa y vende líquidos de gas natural en Bahía Blanca en la provincia de Buenos Aires, así como ofrece servicios de asesoramiento relacionados. La compañía fue conocida anteriormente como Pampa Holding S.A. y cambió su nombre a Pampa Energía S.A. en septiembre de 2008. Pampa Energía S.A. se incorporó en 1945 y tiene su sede en Buenos Aires, Argentina."
34,VERDE,RAIL3.SA,Yahoo Finance,1.49,26.63,18.14,46.78,Brazil,,,2.2439148,-0.09111,0.06787,-7.83,181.21,7.125,0.48,0.019,"Rumo S.A., a través de sus subsidiarias, ofrece servicios de transporte ferroviario. La compañía opera a través de operaciones norte, operaciones sur y segmentos de operaciones de contenedores. El segmento de operaciones del Norte se involucra en las operaciones ferroviarias, de carretera y transbordo. El segmento de operaciones del Sur se compone de operaciones ferroviarias y actividades de transbordo. El segmento de operaciones de contenedores participa en la logística y las operaciones del contenedor. Rumo S.A. ofrece servicios de logística principalmente para exportar productos, incluidas la solución integrada para el transporte, el manejo, el almacenamiento y el envío de los centros de producción a los puertos principales en el sur y sureste de Brasil. La compañía fue fundada en 2008 y tiene su sede en Curitiba, Brasil."
108,VERDE,WB,Yahoo Finance,6.39,106.86,8.71,1126.82,China,-0.08,7.534483,0.6129892,0.0874,0.04482,21.03,53.243,3.228,9.41,0.034,"Weibo Corporation, a través de sus subsidiarias, opera como una plataforma de redes sociales para que las personas creen, descubran y distribuyan contenido en la República Popular de China. Opera a través de dos segmentos, publicidad y servicios de marketing; y servicios de valor agregado. La compañía ofrece productos de descubrimiento para ayudar a los usuarios a descubrir contenido en su plataforma; productos de autoexpresión que permiten a sus usuarios expresarse en su plataforma; y productos sociales para promover la interacción social entre los usuarios en su plataforma. También proporciona soluciones de publicidad y marketing, como anuncios de exhibición social; y las ofertas de marketing promovidas, como el encabezado de los fanáticos, el encabezado de los fanáticos, Weibo Express y los feeds promovidos, así como las tendencias y productos de búsqueda promovidos que aparecen junto con el descubrimiento de tendencias del usuario y los comportamientos de búsqueda. Además, la compañía ofrece productos, como tendencias, búsqueda, video/transmisión en vivo y herramientas de edición; Personalización de contenido, agrupación de contenidos de derechos de autor y desarrollo de interacción de usuario; y recomendación de la lista de búsqueda, recomendación de la lista de tendencias y los anuncios de apertura de la aplicación Weibo. Además, proporciona servicios de gestión de fondo, soporte de tráfico y productos para una mejor muestra y promoción de su cuenta y contenido; una plataforma de aplicación abierta que permite a los usuarios iniciar sesión en aplicaciones de terceros con su cuenta de Weibo para compartir contenido de terceros en su plataforma; y Weibo Wallet, un producto que permite a los socios de la plataforma realizar actividades de generación de intereses en Weibo, como entregar envolturas y cupones rojos. Sirve a personas comunes, celebridades, líderes de opinión y otras figuras públicas o influyentes, así como medios de comunicación, empresas, agencias gubernamentales, organizaciones benéficas y otras organizaciones. La compañía fue conocida anteriormente como T.CN Corporation y cambió su nombre a Weibo Corporation en 2012. La compañía fue fundada en 2009 y tiene su sede en Beijing, la República Popular de China."
125,VERDE,ITC.NS,Yahoo Finance,51.97,514.63,427.9,20.27,India,-3.56,26.66874,7.1340694,,,,0.402,19.55,3.27,0.05,"ITC Limited se involucra en los bienes de consumo, hoteles, documentos y documentos y envases de envasado, agri y tecnología de la información en la India e internacionalmente. Principalmente ofrece cigarrillos y cigarros; GRANDES, especias, galletas, confitería y encías, bocadillos, fideos y pastas, bebidas, lácteos, listas para comer, chocolate, café y alimentos congelados; productos de cuidado personal; cuadernos, bolígrafos y lápices, cajas de geometría, borradores, afiladores, reglas, cera y crayones de plástico, bolígrafos y pasteles de aceite; partidos de seguridad; y palos de incienso bajo varias marcas. La compañía también opera hoteles bajo el Hotel ITC, Mementos, Welcomhotel, Storii, Fortune y Welcomheritage Brands; y Kaya Kalp Spas. Además, ofrece barrera virgen, reciclada y recubierta, base de cupstock, revestimiento, embalaje líquido, tableros antifúngicos, sólidos y gráficos, así como papeles especiales; superposición, base de superficie/impresión, barrera y papel de revestimiento; productos de sustitución de plástico; y productos de embalaje, como productos de cartón, flexibles, tabaco y productos de embalaje verde. Además, la compañía exporta ingredientes de alimentación, granos alimenticios, productos marinos, frutas procesadas, productos de café, productos de tabaco de hoja y especias; y ofrece servicios de tecnología de la información para las industrias bancarias, servicios financieros, bienes de consumo, fabricación, viajes, hospitalidad y atención médica. Además, proporciona infraestructura de propiedad y mantenimiento del patrimonio; ingeniería, adquisición y gestión de la construcción; consultoría de gestión de proyectos; dibujos animados y envoltura; transportador; y consultoría de negocios, desarrollo inmobiliario y agro-forestal y otros servicios relacionados. La compañía también administra y opera campos de golf; Fabrica y ensambla maquinaria para el llenado de tubo; y produce y comercializa productos de tecnología de papa de semillas. ITC Limited se incorporó en 1910 y tiene su sede en Kolkata, India."
39,VERDE,MULT3.SA,Yahoo Finance,6.54,30,25.92,15.76,Brazil,-0.86,10.654166,2.17395,0.20382999,0.09743,7.51,95.875,8.952,3.47,0.065,"Multiplan empreendimentos Imobiliários S.A. se involucra en la planificación, desarrollo, construcción y venta de proyectos inmobiliarios en Brasil. La compañía desarrolla propiedades residenciales o comerciales, incluidos los centros comerciales urbanos. También participa en la compra y venta de propiedades inmobiliarias, así como la adquisición y eliminación de derechos inmobiliarios, y su operación a través del arrendamiento. Además, la compañía ofrece servicios administrativos y administrativos para centros comerciales propios o de terceros; Consultoría y asesoramiento técnico y servicios de apoyo sobre asuntos inmobiliarios; y construcción civil, ejecución de trabajos de construcción e ingeniería y servicios relacionados. Además, se involucra en la planificación, desarrollo, gestión, promoción e intermediación de proyectos inmobiliarios; importación y exportación de bienes y servicios relacionados con sus actividades; generación y venta de energía eléctrica; almacenamiento de vehículos; y estacionamiento, así como opera teatros; e involucrado en publicidad, agencia y servicios de diversión. Además, la compañía se involucra en eventos artísticos, culturales, exposiciones, subastas, festivales de música, eventos cinematográficos, sociales y promocionales; y organizaciones benéficas; y arrendar equipos de sonido y luz. Multiplan empreendimentos Imobiliários S.A. se fundó en 1974 y tiene su sede en Río de Janeiro, Brasil."
112,VERDE,TAL,Yahoo Finance,1.14,90.15,10.01,800.6,China,,73.321434,1.6567141,0.02276,-0.00037999998,4.57,8.851,-47.12,,0.07,"TAL Education Group ofrece servicios de tutoría después de la escuela K-12 en la República Popular de China. Proporciona servicios de aprendizaje principalmente a través de servicios de clases pequeñas; servicios premium personalizados; y aprender soluciones de contenido, como libros impresos, libros inteligentes, aplicaciones móviles y dispositivos de aprendizaje impulsados ​​por IA. La compañía también opera www.xueersi.com, una plataforma de educación en línea; proporciona servicios de gestión de inversiones y consultoría; desarrolla y vende software y redes, así como servicios de consultoría relacionados; y vende materiales y productos educativos. Ofrece sus servicios bajo las marcas de la Academia Haoweilai y Think. Tal Education Group fue fundado en 2003 y tiene su sede en Beijing, la República Popular de China."
124,VERDE,BHARTIARTL.NS,Yahoo Finance,204.86,1901,1820.6,4.42,India,0.1,44.57351,9.828844,0.2894,0.06204,1.75,139.21,14.427,0.44,0.113,"Bharti Airtel Limited opera como una compañía de telecomunicaciones en India e internacionalmente. Opera a través de Mobile Services India, Mobile Services Africa, Mobile Services South Asia, Airtel Business, Tower Infrastructure Services, Homes Services, Digital TV y otros segmentos. La compañía participa en la provisión de servicios de telecomunicaciones de voz y datos a través de tecnología inalámbrica, incluidos servicios 2G/3G/4G/5G; y opera como un único punto de contacto para las telecomunicaciones a través de datos y la integración de la voz, la red y los servicios administrados. También proporciona servicios relacionados con la configuración, operación y mantenimiento de torres de comunicación inalámbrica; y los servicios de comunicaciones de voz y datos a través de la red de línea fija y la tecnología de banda ancha para hogares, así como ofrecen servicios de transmisión digital en la plataforma DTH. Además, la compañía ofrece servicios de valor postpage, prepago, roaming, Internet y varios servicios de valor agregado, así como televisores móviles, videollamadas, videos de transmisión en vivo, juegos, transmisión de video y otros servicios; e integración de red, centros de datos, servicios administrados, aplicaciones de movilidad empresarial y servicios de medios digitales. La compañía fue conocida anteriormente como Bharti Televentures Limited y cambió su nombre a Bharti Airtel Limited en abril de 2006. Bharti Airtel Limited se incorporó en 1995 y tiene su sede en Nueva Delhi, India."
115,VERDE,VNET,Yahoo Finance,1.42,42.6,6.39,566.67,China,,310.25,0.26213512,0.03698,0.01334,-39.01,266.581,12.247,,0.138,"VNET Group, Inc., una compañía tenedora de inversión, brinda servicios de alojamiento y relacionados en China. La compañía ofrece servicios de alojamiento administrados que consisten en servicios minoristas administrados, como servicios de colocación que dedican espacio de centros de datos a los servidores de los clientes y equipos de redes, así como permiten a los clientes arrendar gabinetes parciales o enteros para sus servidores; Servicios de interconectividad que permiten a los clientes conectar sus servidores; y servicios de valor agregado, incluidos TI híbridos, metal desnudo, firewall, equilibrio de carga de servidor, copia de seguridad y recuperación de datos, administración de centros de datos, administración de servidores y servicios de servidor en espera. También proporciona servicios en la nube que permiten a los clientes ejecutar aplicaciones a través de Internet utilizando la infraestructura de TI; y servicios de VPN que extienden las redes privadas de los clientes mediante la configuración de conexiones a través de Internet público. Además, la compañía ofrece servicios de administración del servidor, como soporte del sistema operativo y asistencia con actualizaciones, monitoreo del servidor, copia de seguridad y restauración del servidor, evaluación de seguridad del servidor, servicios de firewall y servicios de recuperación de desastres. Sirve tecnología de la información y servicios en la nube, comunicaciones y redes sociales, juegos y entretenimiento, comercio electrónico, automóviles, servicios financieros y empresas de chip azules y pequeños de tamaño pequeño; agencias gubernamentales; individuos; y portadores de telecomunicaciones. La compañía fue conocida anteriormente como 21Vianet Group, Inc. y cambió su nombre a VNET Group, Inc. en octubre de 2021. VNET Group, Inc. fue fundada en 1996 y tiene su sede en Beijing, China."
9,VERDE,MIRG.BA,Yahoo Finance,15.87,27600,24450,12.88,Argentina,,23.035627,14.886776,1.01003,0.035439998,-155.89,98.386,6.712,0.05,0.177,"Mirgor SociDad Anónima, Comercial, Industrial, Finicera, InMobiliaria y Agropecuaria fabrica y vende equipos de aire acondicionado para empresas automotrices y agrícolas. La compañía opera a través de automotriz, electrónica de consumo y telefonía, venta minorista, servicios, agricultura, marketing de acero y otros segmentos. Ofrece equipos de aire acondicionado y radios de automóviles; televisores y teléfonos celulares; y otros productos electrónicos. La compañía también está involucrada en el negocio de la metalurgia; Mercados cereales y semillas oleaginosas para exportar destinos; producción de actividades agrícolas y de reproducción agrícola; fabricación y comercialización de acero; Venta a un teléfono celular, televisión y otros productos electrónicos; y provisión de almacenamiento, reparación de neumáticos, logística, servicio técnico para reparar teléfonos y otros servicios. Opera en la República Argentina, la República Oriental de Uruguay, la República de Chile, la República de Paraguay, la República Dominicana, la República de Honduras, la República de Colombia, la República de Panamá, la República de Ecuador, el Estado Plurinacional de Bolivia y los Estados Unidos de América. Mirgor SociDad Anónima, Comercial, Industrial, Finicera, InMobiliaria y Agropecuaria se incorporó en 1971 y tiene su sede en Buenos Aires, Argentina."
134,VERDE,NESTLEIND.NS,Yahoo Finance,203.42,2737.97,2370.2,15.52,India,-10.99,71.44062,56.99036,0.87267995,0.23297001,0.06,29.097,48.1,1.69,0.185,"Nestlé India Limited fabrica y vende productos alimenticios en India e internacionalmente. Proporciona productos lácteos y nutrición, que incluye lácteos blancos, leche condensada y uht, yogurt, fórmula materna e infantil, alimentos para bebés y productos nutricionales de atención médica; bebidas en polvo y líquidas que comprenden café y té instantáneos, así como bebidas listas para beber; Platos preparados y ayudas para cocinar, como fideos, salsas, condimentos, pastas, cereales y alimentos para mascotas; y productos de confitería que consisten en líneas de cuenta de bares, tabletas y productos de confitería de azúcar. La compañía fue incorporada en 1959 y tiene su sede en Gurugram, India."
48,VERDE,AGUAS-A.SN,Yahoo Finance,80.69,360,348.4,3.33,Chile,-1.62,17.453472,1.678743,0.11417,0.05599,1.93,103.286,10.559,4.08,0.232,"Aguas yinas S.A., junto con sus subsidiarias, construye y opera como una compañía de servicios de agua en Chile. Se involucra en la captación del agua cruda; producción, transporte y distribución del agua; y la colección, tratamiento y disposición de aguas residuales. La Compañía ofrece servicios integrales de asesoramiento y gestión en aguas residuales y residuos líquidos; vende equipos y energías renovables no convencionales; desarrolla proyectos de energía relacionados con compañías de saneamiento; y ofrece servicios de muestreo de laboratorio y análisis ambiental. Ofrece servicios de tratamiento de agua, alcantarillado y aguas residuales a aproximadamente dos millones de clientes residenciales, comerciales e industriales. La compañía fue conocida anteriormente como Empresa Metropolitana de Obras Sanitarias y cambió su nombre a Aguas yinas S.A. en 2001. Aguas yinas S.A. se fundó en 1861 y tiene su sede en Santiago, Chile. La compañía opera como subsidiaria de Inversiones Aguas Metropolitanas S.A."
93,VERDE,ULVR.L,Yahoo Finance,1679.69,5313.8,4567,16.35,United Kingdom,-0.77,23.632126,564.8297,0.29405,0.09069,5.45,142.11,11.429,3.29,0.233,"Unilever PLC opera como una compañía de bienes de consumo de rápido movimiento en Asia Pacífico, África, América y Europa. Opera a través de cinco segmentos: belleza y bienestar, cuidado personal, cuidado doméstico, alimentos y helados. El segmento de belleza y bienestar se involucra en la venta de productos para el cuidado del cabello, como champú, acondicionador y estilo; Productos para el cuidado de la piel, incluidos los humectantes de la cara, la mano y el cuerpo; y productos de belleza y bienestar de prestigio. El segmento de cuidado personal ofrece productos de limpieza de la piel que comprenden jabones y duchas; desodorantes; y productos de cuidado oral que consisten en pasta de dientes, cepillo de dientes y productos de enjuague bucal. El segmento de atención domiciliaria participa en la venta de productos para el cuidado de la tela, incluidos los polvos y los líquidos de lavado, y los acondicionadores de enjuague; y potenciadores de telas, y productos de limpieza de hogares e higiene. El segmento de alimentos ofrece ayudas de cocina y mini comidas, como sopas, callosos y condimentos, así como condimentos, mayonesa y ketchup, y soluciones de alimentos. El segmento de helados ofrece productos de helados, incluidos helados en casa y fuera de casa. The company provides its products under the AXE, Ben & Jerry's, Clear, Cif, Closeup, Comfort, Cornetto, Dermalogica, Domestos, Dove, Dove Men+Care, Hellmann's, Horlicks, Knorr, LUX, Lifebuoy, Liquid I.V., Magnum, Nutrafol, OMO, Pond's, Paula's Choice, Pepsodent, Rexona, Sunlight, Sunsilk, Surf, Tresemmé, Vaseline, Wall's y Yasso Brand Name. Unilever PLC fue fundada en 1860 y tiene su sede en Londres, el Reino Unido."
